city,trip
A Coruña,"['Braga', 'Francisco Sá Carneiro Airport', 'Lisbon', 'Nancy', 'Nantes', 'Pontevedra', 'Porto', 'Santiago de Compostela', 'Vigo']"
A Gudiña,[]
Aabenraa,"['Copenhagen', 'Flensburg', 'Prague']"
Aachen,"['Amsterdam', 'Amsterdam Airport (Schiphol)', 'Basel/Weil am Rhein', 'Bastogne', 'Berlin', 'Bilbao', 'Bruges', 'Brussels', 'Chamonix', 'Charleroi', 'Colmar', 'Cologne', 'Dortmund', 'Dresden', 'Eindhoven', 'Essen', 'Frankfurt', 'Frankfurt Airport', 'Fürth', 'Ghent', 'Graz', 'Hamburg', 'Hanover', 'Hasselt', 'Leuven', 'Lisbon Airport', 'Liège', 'London', 'Maastricht', 'Madrid', 'Mainz', 'Munich', 'Paris', 'Prague', 'Przemyśl', 'Rotterdam', 'Stuttgart', 'The Hague', 'Wrocław', 'Zurich']"
Aalborg,"['Aarhus', 'Berlin', 'Berlin Airport', 'Billund Legoland/Airport', 'Copenhagen', 'Copenhagen Airport', 'Frýdlant', 'Hamburg', 'Hamburg Airport', 'Kolding', 'Le Havre', 'Malmö', 'Odense', 'Rouen', 'Vejle', 'Viborg', 'Zurich']"
Aarhus,"['Aalborg', 'Amsterdam', 'Basel/Weil am Rhein', 'Berlin', 'Berlin Airport', 'Bochum', 'Budapest', 'Copenhagen', 'Copenhagen Airport', 'Flensburg', 'Gothenburg', 'Groningen', 'Göttingen', 'Hamburg', 'Helsingborg', 'Kiel', 'Leipzig', 'Lund', 'Malmö', 'Odense', 'Oslo', 'Osnabrück', 'Prague', 'Vienna', 'Warsaw', 'Wrocław']"
Aaspere,[]
"Abadiânia, GO",[]
Abbeyfeale,[]
Aberdeen,"['Cardiff', 'Dundee', 'Edinburgh', 'Glasgow', 'London', 'Perth']"
"Aberdeen, MD","['Atlanta, GA', 'Baltimore, MD', 'Boston, MA', 'Charlotte, NC', 'Cleveland, OH', 'Dayton, OH', 'Laurel, MD', 'New Brunswick, NJ', 'New York, NY', 'Newark, NJ', 'Norfolk-Virginia Beach, VA', 'Philadelphia, PA', 'Pittsburgh, PA', 'Portland, ME', 'Raleigh, NC', 'Rochester, NY', 'Salisbury, MD', 'Salisbury, NC', 'Syracuse, NY', 'Washington, D.C.']"
"Aberdeen, SD","['Brookings, SD', 'Chicago, IL', 'Dallas, TX', 'Fargo, ND', 'Grand Island, NE', 'Houston, TX', 'Lincoln, NE', 'Los Angeles, CA', 'Milwaukee, WI', 'Minneapolis, MN', 'Minot, ND', 'Olympia, WA', 'Omaha, NE', 'Pittsburgh, PA', 'Portland, OR', 'Saint Paul, MN', 'Sioux City, IA', 'Sioux Falls, SD', 'Spokane, WA']"
"Abilene, KS",[]
